AI Acts and Models,Excerpt,Frameworks,LLM phase,Region,Regulators,Review cadence,SEO Title,Slug,Source,Summary,Topics,Trust pillar,Type
AI Trust Glossary,,,Problem framing,Global,,Quarterly,,,,"Common terms used across AI trust, safety, and compliance initiatives.","Explainability, Governance, Transparency",Transparency,Glossary
EU AI Act — Overview and RegTech Implications,,EU AI Act,Deployment,EU,European Commission,Semiannual,,,https://artificialintelligenceact.eu/,"High-level summary of the EU AI Act with a focus on implications for financial services RegTech, risk classifications, provider obligations, and conformity assessments.","Accountability, Compliance, Governance, Risk, Transparency",Compliance,Regulation
NIST AI RMF 1.0 — Functions and Mappings,,NIST AI RMF 1.0,Evaluation,US,NIST,Annual,,,https://www.nist.gov/itl/ai-risk-management-framework,"Overview of Govern, Map, Measure, Manage with practical mappings to RegTech controls and evidence.","Evaluation, Governance, Monitoring, Risk",Accountability,Standard
Model Card Template — LLMs,,,Evaluation,Global,,Semiannual,,,,"A reusable template to document LLM purpose, data, metrics, risks, mitigations, and usage constraints.","Evaluation, Safety, Transparency",Transparency,Model card
India DPDP Act 2023 — Training Data Notes,,India DPDP Act 2023,Data,India,CERT-In,Annual,,,https://www.meity.gov.in/,"Considerations for lawful processing, consent, purpose limitation, and data principal rights for model training datasets.","Compliance, Data risk, Privacy",Privacy,Regulation
Decision Record Template — Trust Layer,,,Problem framing,Global,,Ad hoc,,,,Template to capture architecture and policy decisions for the AI trust layer.,"Accountability, Governance",Accountability,Decision record
RegTech Use Cases for Trust Layer,,"ISO/IEC 23894, ISO/IEC 42001, NIST AI RMF 1.0",Monitoring,Global,"ISO, NIST",Ad hoc,,,,Catalog of high-value RegTech use cases for the AI trust layer with control hooks and evidence artifacts.,"Audit, Compliance, Model risk, Monitoring, Vendor risk",Accountability,Use case
ISO/IEC 42001 — AI Management System Overview,What ISO/IEC 42001 requires for an AI Management System and how it maps to governance and audit evidence.,ISO/IEC 42001,Deployment,Global,ISO,Annual,ISO/IEC 42001 — AI Management System (AIMS) Overview,iso-iec-42001-ai-management-system-overview,https://www.iso.org/standard/81230.html,"Summary of ISO/IEC 42001 requirements, scope, and alignment to RegTech controls for AI management systems.","Audit, Compliance, Governance",Accountability,Standard
Model Cards — Structure and Evidence Requirements,,NIST AI RMF 1.0,Evaluation,US,NIST,Annual,,,https://arxiv.org/abs/1810.03993,"Recommended sections for model cards, with pointers to evidence types and RegTech mappings.","Evaluation, Monitoring, Transparency",Transparency,Model card
"MAS FEAT Principles — Fairness, Ethics, Accountability, Transparency",,MAS,Deployment,Singapore,MAS,Annual,,,https://www.mas.gov.sg/,Overview of MAS FEAT principles and practical considerations for AI in financial services.,"Accountability, Fairness, Transparency",Fairness,Regulation
RBI Guidance — Model Risk Management for AI and ML,,RBI Guidelines,Evaluation,India,RBI,Semiannual,,,https://rbi.org.in/,"Key expectations for AI and ML model risk management for Indian financial institutions, with evidence examples.","Compliance, Governance, Model risk",Accountability,Guidance
Risk-Based Classification — Financial Services Use Cases,,"Basel, EU AI Act",Problem framing,EU,"BIS, European Commission",Quarterly,,,https://artificialintelligenceact.eu,Examples of classifying AI use cases in banking and securities under the EU AI Act risk tiers with Basel risk alignment.,"Compliance, Governance, Risk",Compliance,Case study
ISO/IEC 27001 Controls — Implications for AI Systems,,ISO/IEC 27001,Deployment,Global,ISO,Annual,,,https://www.iso.org/isoiec-27001-information-security.html,"How ISO/IEC 27001 Annex A controls apply to AI system development, deployment, and monitoring.","Audit, Compliance, Security",Security,Guidance
ISO/IEC 23894 — AI Risk Management Guidance,,ISO/IEC 23894,Evaluation,Global,ISO,Annual,,,https://www.iso.org/standard/77304.html,Guidance on managing AI risk across the lifecycle with mappings to controls and evidence for RegTech.,"Compliance, Governance, Risk",Robustness,Standard
"GDPR and AI — Lawful Basis, DPIAs, and Transparency",,GDPR,Deployment,EU,EDPB,Semiannual,,,https://edpb.europa.eu,"How GDPR applies to AI systems with focus on lawful basis for processing, data minimization, DPIAs, and transparency notices.","Compliance, Privacy, Transparency",Privacy,Guidance
FCA — AI Use in UK Financial Services,,FCA,Monitoring,UK,FCA,Semiannual,,,https://www.fca.org.uk/,Summary of FCA positions and guidance relevant to AI deployment and oversight in the UK.,"Compliance, Governance, Risk",Compliance,Guidance